Cap Spacing (um),Orifice width (um),Flow rate ratio,Capillary Number Inner,Capillary Number Outer ,Observed regime (0= Dripping & 1 = Jetting),Observed droplet diameter (um)
324.3902439,29.26829268,5,1.34E-05,0.004743683,0,324.3902439
324.3902439,29.26829268,4.166666667,1.60E-05,0.336801472,0,353.6585366
324.3902439,29.26829268,3.571428571,1.87E-05,0.336801472,0,375.6097561
324.3902439,29.26829268,3.125,2.14E-05,0.336801472,0,363.4146341
324.3902439,29.26829268,2.777777778,2.41E-05,0.336801472,1,441.4634146
324.3902439,29.26829268,2.5,2.67E-05,0.336801472,1,451.2195122
324.3902439,29.26829268,2.272727273,2.94E-05,0.336801472,1,480.4878049
324.3902439,29.26829268,2.083333333,3.21E-05,0.336801472,1,497.5609756
324.3902439,29.26829268,1.923076923,3.47E-05,0.336801472,0,407.3170732
324.3902439,29.26829268,1.785714286,3.74E-05,0.336801472,1,526.8292683
324.3902439,29.26829268,1.666666667,4.01E-05,0.336801472,1,524.3902439
324.3902439,29.26829268,1.5625,4.28E-05,0.336801472,1,431.7073171
324.3902439,29.26829268,1.470588235,4.54E-05,0.336801472,1,453.6585366
324.3902439,29.26829268,1.388888889,4.81E-05,0.336801472,1,604.8780488
324.3902439,29.26829268,1.315789474,5.08E-05,0.336801472,1,641.4634146
324.3902439,29.26829268,1.25,5.34E-05,0.336801472,1,682.9268293
324.3902439,29.26829268,1.111111111,6.01E-05,0.336801472,1,834.1463415
324.3902439,29.26829268,1,6.68E-05,0.336801472,1,829.2682927
324.3902439,29.26829268,0.909090909,7.35E-05,0.336801472,1,1065.853659
324.3902439,29.26829268,0.833333333,8.02E-05,0.336801472,1,1185.365854
324.3902439,29.26829268,5,1.34E-05,0.336801472,1,382.9268293
324.3902439,29.26829268,6.25,1.07E-05,0.336801472,0,319.5121951
324.3902439,29.26829268,8.333333333,8.02E-06,0.336801472,0,317.0731707
324.3902439,29.26829268,12.5,5.34E-06,0.336801472,0,312.195122
324.3902439,29.26829268,25,2.67E-06,0.336801472,0,302.4390244
324.3902439,29.26829268,50,1.34E-06,0.336801472,0,290.2439024
324.3902439,29.26829268,66.66666667,1.00E-06,0.336801472,0,273.1707317
324.3902439,29.26829268,100,6.68E-07,0.336801472,0,282.9268293
324.3902439,29.26829268,14,6.68E-06,0.006641156,0,270.7317073
324.3902439,29.26829268,14.4,6.68E-06,0.006830903,0,278.0487805
324.3902439,29.26829268,14.8,6.68E-06,0.00702065,0,265.8536585
324.3902439,29.26829268,15.2,6.68E-06,0.007210398,0,265.8536585
324.3902439,29.26829268,15.6,6.68E-06,0.007400145,0,263.4146341
324.3902439,29.26829268,16,6.68E-06,0.007589892,0,260.9756098
324.3902439,29.26829268,16.4,6.68E-06,0.00777964,0,263.4146341
324.3902439,29.26829268,16.8,6.68E-06,0.007969387,0,263.4146341
324.3902439,29.26829268,17.2,6.68E-06,0.008159134,0,253.6585366
324.3902439,29.26829268,17.6,6.68E-06,0.008348882,0,248.7804878
324.3902439,29.26829268,18,6.68E-06,0.008538629,0,248.7804878
324.3902439,29.26829268,19,6.68E-06,0.009012997,0,251.2195122
324.3902439,29.26829268,20,6.68E-06,0.009487365,0,236.5853659
324.3902439,29.26829268,21,6.68E-06,0.009961734,0,236.5853659
324.3902439,29.26829268,22,6.68E-06,0.010436102,0,234.1463415
324.3902439,29.26829268,23,6.68E-06,0.01091047,0,231.7073171
324.3902439,29.26829268,24,6.68E-06,0.011384838,0,219.5121951
324.3902439,29.26829268,25,6.68E-06,0.011859207,0,212.195122
324.3902439,29.26829268,28,6.68E-06,0.013282312,0,207.3170732
324.3902439,29.26829268,30,6.68E-06,0.014231048,0,219.5121951
324.3902439,29.26829268,32,6.68E-06,0.015179785,0,214.6341463
324.3902439,29.26829268,34,6.68E-06,0.016128521,0,209.7560976
324.3902439,29.26829268,36,6.68E-06,0.017077258,0,204.8780488
324.3902439,29.26829268,38,6.68E-06,0.018025994,0,197.5609756
324.3902439,29.26829268,40,6.68E-06,0.018974731,0,190.2439024
324.3902439,29.26829268,42,6.68E-06,0.019923467,0,187.804878
324.3902439,29.26829268,44,6.68E-06,0.020872204,0,185.3658537
324.3902439,29.26829268,46,6.68E-06,0.02182094,0,182.9268293
324.3902439,29.26829268,48,6.68E-06,0.022769677,0,165.8536585
324.3902439,29.26829268,50,6.68E-06,0.023718414,0,165.8536585
324.3902439,29.26829268,60,6.68E-06,0.028462096,0,160.9756098
317.0731707,31.70731707,30,1.34E-06,0.00284621,0,197.5609756
317.0731707,31.70731707,20,2.00E-06,0.00284621,0,217.0731707
317.0731707,31.70731707,15,2.67E-06,0.00284621,0,236.5853659
317.0731707,31.70731707,12,3.34E-06,0.00284621,0,226.8292683
317.0731707,31.70731707,10,4.01E-06,0.00284621,0,239.0243902
317.0731707,31.70731707,8.571428571,4.68E-06,0.00284621,0,248.7804878
317.0731707,31.70731707,7.5,5.34E-06,0.00284621,0,253.6585366
317.0731707,31.70731707,6.666666667,6.01E-06,0.00284621,0,260.9756098
317.0731707,31.70731707,6,6.68E-06,0.00284621,0,285.3658537
317.0731707,31.70731707,5.454545455,7.35E-06,0.00284621,0,285.3658537
317.0731707,31.70731707,5,8.02E-06,0.00284621,1,290.2439024
317.0731707,31.70731707,4.615384615,8.69E-06,0.00284621,1,304.8780488
317.0731707,31.70731707,4.285714286,9.35E-06,0.00284621,1,314.6341463
317.0731707,31.70731707,4,1.00E-05,0.00284621,1,317.0731707
317.0731707,31.70731707,3.75,1.07E-05,0.00284621,1,321.9512195
317.0731707,31.70731707,3.529411765,1.14E-05,0.00284621,1,329.2682927
317.0731707,31.70731707,3.333333333,1.20E-05,0.00284621,1,353.6585366
317.0731707,31.70731707,3.157894737,1.27E-05,0.00284621,1,343.902439
317.0731707,31.70731707,3,1.34E-05,0.00284621,1,348.7804878
317.0731707,31.70731707,2.857142857,1.40E-05,0.00284621,1,346.3414634
317.0731707,31.70731707,2.727272727,1.47E-05,0.00284621,1,353.6585366
317.0731707,31.70731707,2.608695652,1.54E-05,0.00284621,1,368.2926829
317.0731707,31.70731707,2.5,1.60E-05,0.00284621,1,370.7317073
317.0731707,31.70731707,2.4,1.67E-05,0.00284621,1,395.1219512
317.0731707,31.70731707,2.307692308,1.74E-05,0.00284621,1,363.4146341
317.0731707,31.70731707,2.222222222,1.80E-05,0.00284621,1,368.2926829
317.0731707,31.70731707,2.142857143,1.87E-05,0.00284621,1,414.6341463
317.0731707,31.70731707,2.068965517,1.94E-05,0.00284621,1,368.2926829
317.0731707,31.70731707,2,2.00E-05,0.00284621,1,370.7317073
317.0731707,31.70731707,1.935483871,2.07E-05,0.00284621,1,419.5121951
317.0731707,31.70731707,1.875,2.14E-05,0.00284621,1,429.2682927
317.0731707,31.70731707,1.818181818,2.20E-05,0.00284621,1,436.5853659
317.0731707,31.70731707,1.764705882,2.27E-05,0.00284621,1,441.4634146
317.0731707,31.70731707,1.666666667,2.41E-05,0.00284621,1,441.4634146
317.0731707,31.70731707,1.578947368,2.54E-05,0.00284621,1,441.4634146
317.0731707,31.70731707,1.5,2.67E-05,0.00284621,1,453.6585366
317.0731707,31.70731707,1.428571429,2.81E-05,0.00284621,1,409.7560976
317.0731707,31.70731707,1.363636364,2.94E-05,0.00284621,1,412.195122
317.0731707,31.70731707,1.304347826,3.07E-05,0.00284621,1,426.8292683
317.0731707,31.70731707,1.25,3.21E-05,0.00284621,1,421.9512195
317.0731707,31.70731707,1.2,3.34E-05,0.00284621,1,424.3902439
317.0731707,31.70731707,1.153846154,3.47E-05,0.00284621,1,439.0243902
317.0731707,31.70731707,1.111111111,3.61E-05,0.00284621,1,514.6341463
317.0731707,31.70731707,1,4.01E-05,0.00284621,1,551.2195122
317.0731707,31.70731707,0.857142857,4.68E-05,0.00284621,1,663.4146341
317.0731707,31.70731707,0.75,5.34E-05,0.00284621,1,780.4878049
312.195122,31.70731707,40,1.34E-06,0.003794946,0,224.3902439
312.195122,31.70731707,20,2.67E-06,0.003794946,0,234.1463415
312.195122,31.70731707,13.33333333,4.01E-06,0.003794946,0,243.902439
312.195122,31.70731707,10,5.34E-06,0.003794946,0,246.3414634
312.195122,31.70731707,8,6.68E-06,0.003794946,0,251.2195122
312.195122,31.70731707,6.666666667,8.02E-06,0.003794946,0,260.9756098
312.195122,31.70731707,5.714285714,9.35E-06,0.003794946,0,265.8536585
312.195122,31.70731707,5,1.07E-05,0.003794946,0,270.7317073
312.195122,31.70731707,4.444444444,1.20E-05,0.003794946,1,282.9268293
312.195122,31.70731707,4,1.34E-05,0.003794946,1,304.8780488
312.195122,31.70731707,3.636363636,1.47E-05,0.003794946,1,314.6341463
312.195122,31.70731707,3.333333333,1.60E-05,0.003794946,1,312.195122
312.195122,31.70731707,3.076923077,1.74E-05,0.003794946,1,319.5121951
312.195122,31.70731707,2.857142857,1.87E-05,0.003794946,1,326.8292683
312.195122,31.70731707,2.666666667,2.00E-05,0.003794946,1,329.2682927
312.195122,31.70731707,2.5,2.14E-05,0.003794946,1,339.0243902
312.195122,31.70731707,2.352941176,2.27E-05,0.003794946,1,341.4634146
312.195122,31.70731707,2.222222222,2.41E-05,0.003794946,1,353.6585366
312.195122,31.70731707,2.105263158,2.54E-05,0.003794946,1,343.902439
312.195122,31.70731707,2,2.67E-05,0.003794946,1,346.3414634
312.195122,31.70731707,1.904761905,2.81E-05,0.003794946,1,412.195122
312.195122,31.70731707,1.818181818,2.94E-05,0.003794946,1,434.1463415
312.195122,31.70731707,1.739130435,3.07E-05,0.003794946,1,431.7073171
312.195122,31.70731707,1.666666667,3.21E-05,0.003794946,1,439.0243902
312.195122,31.70731707,1.6,3.34E-05,0.003794946,1,443.902439
312.195122,31.70731707,1.538461538,3.47E-05,0.003794946,1,458.5365854
312.195122,31.70731707,1.481481481,3.61E-05,0.003794946,1,465.8536585
312.195122,31.70731707,1.428571429,3.74E-05,0.003794946,1,463.4146341
312.195122,31.70731707,1.379310345,3.88E-05,0.003794946,1,470.7317073
312.195122,31.70731707,1.333333333,4.01E-05,0.003794946,1,475.6097561
312.195122,31.70731707,1.142857143,4.68E-05,0.003794946,1,531.7073171
312.195122,31.70731707,1,5.34E-05,0.003794946,1,558.5365854
321.9512195,31.70731707,12,6.68E-06,0.005692419,0,253.6585366
321.9512195,31.70731707,10,8.02E-06,0.005692419,0,263.4146341
321.9512195,31.70731707,8.571428571,9.35E-06,0.005692419,0,265.8536585
321.9512195,31.70731707,7.5,1.07E-05,0.005692419,0,270.7317073
321.9512195,31.70731707,6.666666667,1.20E-05,0.005692419,0,275.6097561
321.9512195,31.70731707,6,1.34E-05,0.005692419,0,278.0487805
321.9512195,31.70731707,5.454545455,1.47E-05,0.005692419,0,280.4878049
321.9512195,31.70731707,5,1.60E-05,0.005692419,0,282.9268293
321.9512195,31.70731707,4.615384615,1.74E-05,0.005692419,0,285.3658537
321.9512195,31.70731707,4.285714286,1.87E-05,0.005692419,0,282.9268293
321.9512195,31.70731707,4,2.00E-05,0.005692419,1,302.4390244
321.9512195,31.70731707,3.75,2.14E-05,0.005692419,1,307.3170732
321.9512195,31.70731707,3.529411765,2.27E-05,0.005692419,1,312.195122
321.9512195,31.70731707,3.333333333,2.41E-05,0.005692419,1,319.5121951
321.9512195,31.70731707,3.157894737,2.54E-05,0.005692419,1,326.8292683
321.9512195,31.70731707,3,2.67E-05,0.005692419,1,329.2682927
321.9512195,31.70731707,2.857142857,2.81E-05,0.005692419,1,329.2682927
321.9512195,31.70731707,2.727272727,2.94E-05,0.005692419,1,339.0243902
321.9512195,31.70731707,2.608695652,3.07E-05,0.005692419,1,346.3414634
321.9512195,31.70731707,2.5,3.21E-05,0.005692419,1,346.3414634
321.9512195,31.70731707,2.4,3.34E-05,0.005692419,1,400
321.9512195,31.70731707,2.222222222,3.61E-05,0.005692419,1,412.195122
321.9512195,31.70731707,2,4.01E-05,0.005692419,1,441.4634146
321.9512195,31.70731707,1.714285714,4.68E-05,0.005692419,1,443.902439
321.9512195,31.70731707,1.333333333,6.01E-05,0.005692419,1,468.2926829
321.9512195,31.70731707,1,8.02E-05,0.005692419,1,604.8780488
334.1463415,24.3902439,40,6.68E-07,0.001897473,0,234.1463415
334.1463415,24.3902439,20,1.34E-06,0.001897473,0,236.5853659
334.1463415,24.3902439,13.33333333,2.00E-06,0.001897473,0,243.902439
334.1463415,24.3902439,10,2.67E-06,0.001897473,0,253.6585366
334.1463415,24.3902439,8,3.34E-06,0.001897473,0,260.9756098
334.1463415,24.3902439,6.666666667,4.01E-06,0.001897473,0,265.8536585
334.1463415,24.3902439,5.714285714,4.68E-06,0.001897473,0,275.6097561
334.1463415,24.3902439,5,5.34E-06,0.001897473,0,285.3658537
334.1463415,24.3902439,4.444444444,6.01E-06,0.001897473,0,285.3658537
334.1463415,24.3902439,4,6.68E-06,0.001897473,0,292.6829268
334.1463415,24.3902439,3.636363636,7.35E-06,0.001897473,0,295.1219512
334.1463415,24.3902439,3.333333333,8.02E-06,0.001897473,1,319.5121951
334.1463415,24.3902439,3.076923077,8.69E-06,0.001897473,1,329.2682927
334.1463415,24.3902439,2.857142857,9.35E-06,0.001897473,1,331.7073171
334.1463415,24.3902439,2.666666667,1.00E-05,0.001897473,1,343.902439
334.1463415,24.3902439,2.5,1.07E-05,0.001897473,1,351.2195122
334.1463415,24.3902439,2.352941176,1.14E-05,0.001897473,1,356.097561
334.1463415,24.3902439,2.222222222,1.20E-05,0.001897473,1,368.2926829
334.1463415,24.3902439,2.105263158,1.27E-05,0.001897473,1,370.7317073
334.1463415,24.3902439,2,1.34E-05,0.001897473,1,378.0487805
334.1463415,24.3902439,1.904761905,1.40E-05,0.001897473,1,380.4878049
334.1463415,24.3902439,1.818181818,1.47E-05,0.001897473,1,404.8780488
334.1463415,24.3902439,1.739130435,1.54E-05,0.001897473,1,404.8780488
334.1463415,24.3902439,1.666666667,1.60E-05,0.001897473,1,395.1219512
334.1463415,24.3902439,1.6,1.67E-05,0.001897473,1,448.7804878
334.1463415,24.3902439,1.538461538,1.74E-05,0.001897473,1,451.2195122
334.1463415,24.3902439,1.333333333,2.00E-05,0.001897473,1,456.097561
334.1463415,24.3902439,1.176470588,2.27E-05,0.001897473,1,490.2439024
331.7073171,31.70731707,14,6.68E-06,0.006641156,0,246.3414634
331.7073171,31.70731707,12.72727273,7.35E-06,0.006641156,0,248.7804878
331.7073171,31.70731707,11.66666667,8.02E-06,0.006641156,0,253.6585366
331.7073171,31.70731707,10,9.35E-06,0.006641156,0,256.097561
331.7073171,31.70731707,8.75,1.07E-05,0.006641156,0,253.6585366
331.7073171,31.70731707,7.777777778,1.20E-05,0.006641156,0,256.097561
331.7073171,31.70731707,7,1.34E-05,0.006641156,0,265.8536585
331.7073171,31.70731707,6.363636364,1.47E-05,0.006641156,0,263.4146341
331.7073171,31.70731707,5.833333333,1.60E-05,0.006641156,0,265.8536585
331.7073171,31.70731707,5.384615385,1.74E-05,0.006641156,0,268.2926829
331.7073171,31.70731707,5,1.87E-05,0.006641156,1,285.3658537
331.7073171,31.70731707,4.666666667,2.00E-05,0.006641156,1,292.6829268
331.7073171,31.70731707,4.375,2.14E-05,0.006641156,1,297.5609756
331.7073171,31.70731707,4.117647059,2.27E-05,0.006641156,1,297.5609756
331.7073171,31.70731707,3.888888889,2.41E-05,0.006641156,1,300
331.7073171,31.70731707,3.684210526,2.54E-05,0.006641156,1,309.7560976
331.7073171,31.70731707,3.5,2.67E-05,0.006641156,1,312.195122
331.7073171,31.70731707,3.333333333,2.81E-05,0.006641156,1,317.0731707
331.7073171,31.70731707,3.181818182,2.94E-05,0.006641156,1,321.9512195
331.7073171,31.70731707,3.043478261,3.07E-05,0.006641156,1,329.2682927
331.7073171,31.70731707,2.916666667,3.21E-05,0.006641156,1,324.3902439
331.7073171,31.70731707,2.692307692,3.47E-05,0.006641156,1,370.7317073
331.7073171,31.70731707,2.592592593,3.61E-05,0.006641156,1,387.804878
331.7073171,31.70731707,2.333333333,4.01E-05,0.006641156,1,397.5609756
331.7073171,31.70731707,1.428571429,4.68E-05,0.004743683,1,485.3658537
331.7073171,31.70731707,1.111111111,2.41E-05,0.001897473,1,521.9512195
331.7073171,31.70731707,1.052631579,2.54E-05,0.001897473,1,531.7073171
331.7073171,31.70731707,1.428571429,2.81E-05,0.00284621,1,478.0487805
331.7073171,31.70731707,1.904761905,2.81E-05,0.003794946,1,441.4634146
160.9756098,29.26829268,4.87804878,1.10E-05,0.003794946,1,297.5609756
160.9756098,29.26829268,5,1.07E-05,0.003794946,1,302.4390244
160.9756098,29.26829268,5.128205128,1.04E-05,0.003794946,1,287.804878
160.9756098,29.26829268,5.263157895,1.02E-05,0.003794946,1,292.6829268
160.9756098,29.26829268,5.405405405,9.89E-06,0.003794946,1,292.6829268
160.9756098,29.26829268,5.555555556,9.62E-06,0.003794946,1,282.9268293
160.9756098,29.26829268,5.714285714,9.35E-06,0.003794946,1,278.0487805
160.9756098,29.26829268,5.882352941,9.09E-06,0.003794946,0,248.7804878
160.9756098,29.26829268,6.060606061,8.82E-06,0.003794946,0,243.902439
160.9756098,29.26829268,6.25,8.55E-06,0.003794946,0,239.0243902
160.9756098,29.26829268,6.451612903,8.28E-06,0.003794946,0,243.902439
160.9756098,29.26829268,6.666666667,8.02E-06,0.003794946,0,239.0243902
160.9756098,29.26829268,6.896551724,7.75E-06,0.003794946,0,243.902439
160.9756098,29.26829268,7.142857143,7.48E-06,0.003794946,0,243.902439
160.9756098,29.26829268,7.407407407,7.22E-06,0.003794946,0,239.0243902
160.9756098,29.26829268,7.692307692,6.95E-06,0.003794946,0,234.1463415
160.9756098,29.26829268,8,6.68E-06,0.003794946,0,234.1463415
160.9756098,29.26829268,8.333333333,6.41E-06,0.003794946,0,231.7073171
160.9756098,29.26829268,8.695652174,6.15E-06,0.003794946,0,229.2682927
160.9756098,29.26829268,9.090909091,5.88E-06,0.003794946,0,229.2682927
160.9756098,29.26829268,9.523809524,5.61E-06,0.003794946,0,224.3902439
160.9756098,29.26829268,10,5.34E-06,0.003794946,0,224.3902439
160.9756098,29.26829268,10.52631579,5.08E-06,0.003794946,0,226.8292683
160.9756098,29.26829268,11.11111111,4.81E-06,0.003794946,0,219.5121951
160.9756098,29.26829268,11.76470588,4.54E-06,0.003794946,0,214.6341463
160.9756098,29.26829268,12.5,4.28E-06,0.003794946,0,214.6341463
160.9756098,29.26829268,13.33333333,4.01E-06,0.003794946,0,212.195122
160.9756098,29.26829268,14.28571429,3.74E-06,0.003794946,0,217.0731707
160.9756098,29.26829268,15.38461538,3.47E-06,0.003794946,0,217.0731707
160.9756098,29.26829268,16.66666667,3.21E-06,0.003794946,0,209.7560976
160.9756098,29.26829268,18.18181818,2.94E-06,0.003794946,0,214.6341463
160.9756098,29.26829268,20,2.67E-06,0.003794946,0,209.7560976
160.9756098,29.26829268,22.22222222,2.41E-06,0.003794946,0,217.0731707
160.9756098,29.26829268,25,2.14E-06,0.003794946,0,212.195122
160.9756098,29.26829268,28.57142857,1.87E-06,0.003794946,0,202.4390244
160.9756098,29.26829268,33.33333333,1.60E-06,0.003794946,0,195.1219512
160.9756098,29.26829268,40,1.34E-06,0.003794946,0,204.8780488
160.9756098,29.26829268,40,1.34E-06,0.003794946,0,207.3170732
160.9756098,29.26829268,33.33333333,1.60E-06,0.003794946,0,209.7560976
160.9756098,29.26829268,28.57142857,1.87E-06,0.003794946,0,209.7560976
160.9756098,29.26829268,25,2.14E-06,0.003794946,0,212.195122
160.9756098,29.26829268,22.22222222,2.41E-06,0.003794946,0,214.6341463
160.9756098,29.26829268,20,2.67E-06,0.003794946,0,217.0731707
160.9756098,29.26829268,18.18181818,2.94E-06,0.003794946,0,219.5121951
